"﻿""file""",scope,key,value_zh
main.i18n.json,vs/base/browser/ui/actionbar/actionViewItems,titleLabel,Nhãn tiêu đề
main.i18n.json,vs/base/browser/ui/button/button,button dropdown more actions,Nút thả xuống nhiều hành động hơn
main.i18n.json,vs/base/browser/ui/dialog/dialog,dialogClose,Hộp thoại
main.i18n.json,vs/base/browser/ui/dialog/dialog,dialogErrorMessage,Hộp thoại
main.i18n.json,vs/base/browser/ui/dialog/dialog,dialogInfoMessage,Hộp thoại
main.i18n.json,vs/base/browser/ui/dialog/dialog,dialogPendingMessage,Hộp thoại
main.i18n.json,vs/base/browser/ui/dialog/dialog,dialogWarningMessage,Hộp thoại
main.i18n.json,vs/base/browser/ui/dialog/dialog,ok,Được rồi
main.i18n.json,vs/base/browser/ui/dropdown/dropdownActionViewItem,moreActions,Moreactions
main.i18n.json,vs/base/browser/ui/findinput/findInput,defaultLabel,DefaultLabel
main.i18n.json,vs/base/browser/ui/findinput/findInputToggles,caseDescription,casedescrip
main.i18n.json,vs/base/browser/ui/findinput/findInputToggles,regexDescription,Regexdescrip
main.i18n.json,vs/base/browser/ui/findinput/findInputToggles,wordsDescription,wordsdescrip
main.i18n.json,vs/base/browser/ui/findinput/replaceInput,defaultLabel,DefaultLabel
main.i18n.json,vs/base/browser/ui/findinput/replaceInput,label.preserveCaseToggle,label.preserveCaseToggle
main.i18n.json,vs/base/browser/ui/hover/hoverWidget,acessibleViewHint,AcessibleViewHint
main.i18n.json,vs/base/browser/ui/hover/hoverWidget,acessibleViewHintNoKbOpen,Truy cậpViewHintNokBopen
main.i18n.json,vs/base/browser/ui/icons/iconSelectBox,iconSelect.noResults,iconSelect.noResults
main.i18n.json,vs/base/browser/ui/icons/iconSelectBox,iconSelect.placeholder,iconSelect.placeholder
main.i18n.json,vs/base/browser/ui/inputbox/inputBox,alertErrorMessage,AlerErrorMessage
main.i18n.json,vs/base/browser/ui/inputbox/inputBox,alertInfoMessage,alertinfomessage
main.i18n.json,vs/base/browser/ui/inputbox/inputBox,alertWarningMessage,Thông báo alertwarning
main.i18n.json,vs/base/browser/ui/inputbox/inputBox,clearedInput,CleanedInput
main.i18n.json,vs/base/browser/ui/inputbox/inputBox,history.inputbox.hint.suffix.inparens,history.inputbox.hint.suffix.inparens
main.i18n.json,vs/base/browser/ui/inputbox/inputBox,history.inputbox.hint.suffix.noparens,history.inputbox.hint.suffix.noparens
main.i18n.json,vs/base/browser/ui/keybindingLabel/keybindingLabel,unbound,không bị ràng buộc
main.i18n.json,vs/base/browser/ui/menu/menubar,mAppMenu,MAPPMENU
main.i18n.json,vs/base/browser/ui/menu/menubar,mMore,mmore
main.i18n.json,vs/base/browser/ui/selectBox/selectBoxCustom,selectBox,Hộp chọn
main.i18n.json,vs/base/browser/ui/splitview/paneview,viewSection,quan điểm
main.i18n.json,vs/base/browser/ui/toolbar/toolbar,moreActions,Moreactions
main.i18n.json,vs/base/browser/ui/tree/abstractTree,close,đóng
main.i18n.json,vs/base/browser/ui/tree/abstractTree,filter,lọc
main.i18n.json,vs/base/browser/ui/tree/abstractTree,foundResults,FoundResults
main.i18n.json,vs/base/browser/ui/tree/abstractTree,fuzzySearch,FuzzySearch
main.i18n.json,vs/base/browser/ui/tree/abstractTree,not found,không tìm thấy
main.i18n.json,vs/base/browser/ui/tree/abstractTree,replFindNoResults,replfindnoresults
main.i18n.json,vs/base/browser/ui/tree/abstractTree,type to filter,Nhập để lọc
main.i18n.json,vs/base/browser/ui/tree/abstractTree,type to search,Nhập để tìm kiếm
main.i18n.json,vs/base/browser/ui/tree/asyncDataTree,type to filter,Nhập để lọc
main.i18n.json,vs/base/browser/ui/tree/asyncDataTree,type to search,Nhập để tìm kiếm
main.i18n.json,vs/base/browser/ui/tree/treeDefaults,collapse all,sụp đổ tất cả
main.i18n.json,vs/base/common/actions,submenu.empty,submenu.empty
main.i18n.json,vs/base/common/date,date.fromNow.days.plural,date.fromNow.days.plural
main.i18n.json,vs/base/common/date,date.fromNow.days.plural.ago,date.fromNow.days.plural.ago
main.i18n.json,vs/base/common/date,date.fromNow.days.singular,date.fromNow.days.singular
main.i18n.json,vs/base/common/date,date.fromNow.days.singular.ago,date.fromNow.days.singular.ago
main.i18n.json,vs/base/common/date,date.fromNow.hours.plural,date.fromNow.hours.plural
main.i18n.json,vs/base/common/date,date.fromNow.hours.plural.ago,date.fromNow.hours.plural.ago
