"﻿""file""",scope,key,value_zh
main.i18n.json,vs/editor/contrib/quickAccess/browser/gotoSymbolQuickAccess,_constructor,_người xây dựng
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingEditorOverlay,0Of0,0OF0
main.i18n.json,vs/workbench/contrib/codeEditor/browser/outline/documentSymbolsTree,1.problem,1.Probem
main.i18n.json,vs/workbench/contrib/debug/browser/debugService,1activeSession,1Chivesession
main.i18n.json,vs/workbench/contrib/remote/browser/remoteExplorer,1forwardedPort,1foredededport
main.i18n.json,vs/workbench/contrib/debug/browser/debugTaskRunner,abort,hủy bỏ
main.i18n.json,vs/workbench/browser/actions/windowActions,about,Về
main.i18n.json,vs/workbench/browser/parts/dialogs/dialogHandler,aboutDetail,Giới thiệu
main.i18n.json,vs/workbench/electron-browser/parts/dialogs/dialogHandler,aboutDetail,Giới thiệu
main.i18n.json,vs/platform/theme/common/tokenClassificationRegistry,abstract,Tóm tắt
main.i18n.json,vs/editor/contrib/inlineCompletions/browser/controller/commands,accept,chấp nhận
main.i18n.json,vs/editor/contrib/inlineCompletions/browser/view/inlineEdits/components/gutterIndicatorMenu,accept,chấp nhận
main.i18n.json,vs/workbench/contrib/chat/browser/chatContentParts/chatConfirmationContentPart,accept,chấp nhận
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingActions,accept,chấp nhận
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingEditorActions,accept,chấp nhận
main.i18n.json,vs/workbench/contrib/interactiveEditor/browser/interactiveEditorActions,accept,chấp nhận
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/view/conflictActions,accept,chấp nhận
main.i18n.json,vs/workbench/contrib/userDataSync/browser/userDataSync,accept failed,Chấp nhận thất bại
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/view/editors/inputCodeEditorView,accept.conflicting,accept.conflicting
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/view/editors/inputCodeEditorView,accept.excluded,accept.excluded
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingActions,accept.file,accept.file
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/view/editors/inputCodeEditorView,accept.first,accept.first
main.i18n.json,vs/editor/contrib/suggest/browser/suggestController,accept.insert,accept.insert
main.i18n.json,vs/editor/contrib/suggest/browser/suggestController,accept.replace,accept.replace
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/view/editors/inputCodeEditorView,accept.second,accept.second
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingEditorActions,accept2,Chấp nhận2
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingEditorActions,accept3,Chấp nhận3
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingEditorActions,accept4,Chấp nhận4
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingActions,acceptAllEdits,chấp nhận
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingEditorActions,acceptAllEdits,chấp nhận
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingEditorActions,acceptAllEditsTooltip,AcceptalleditStooltip
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/view/conflictActions,acceptBoth,Chấp nhận
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/view/conflictActions,acceptBoth0First,AcceptBoth0first
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/view/conflictActions,acceptBothTooltip,AcceptBothTooltip
main.i18n.json,vs/workbench/contrib/chat/browser/chatEditing/chatEditingEditorActions,acceptHunk,accepthunk
main.i18n.json,vs/server/node/serverEnvironmentService,acceptLicenseTerms,Chấp nhận
main.i18n.json,vs/editor/contrib/inlineCompletions/browser/controller/commands,acceptLine,Chấp nhận
main.i18n.json,vs/workbench/contrib/files/browser/fileActions.contribution,acceptLocalChanges,Chấp nhận
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/mergeEditorInputModel,acceptMerge,Chấp nhận
main.i18n.json,vs/workbench/browser/parts/notifications/notificationsCommands,acceptNotificationPrimaryAction,Chấp nhận thông tin
main.i18n.json,vs/platform/actionWidget/browser/actionWidget,acceptSelected.title,acceptSelected.title
main.i18n.json,vs/editor/common/standaloneStrings,acceptSuggestAction,Chấp nhận điều trị
main.i18n.json,vs/editor/common/config/editorOptions,acceptSuggestionOnCommitCharacter,Chấp nhận sự cố vấnaCommitcharacter
main.i18n.json,vs/editor/common/config/editorOptions,acceptSuggestionOnEnter,Chấp nhận người thành lập
main.i18n.json,vs/editor/contrib/suggest/browser/suggest,acceptSuggestionOnEnter,Chấp nhận người thành lập
main.i18n.json,vs/editor/common/config/editorOptions,acceptSuggestionOnEnterSmart,Chấp nhận các thành viên của Trọng tâm
main.i18n.json,vs/workbench/contrib/mergeEditor/browser/view/conflictActions,acceptTooltip,Chấp nhận
main.i18n.json,vs/editor/contrib/inlineCompletions/browser/controller/commands,acceptWord,chấp nhận từ ngữ
main.i18n.json,vs/workbench/contrib/debug/browser/breakpointsView,access,truy cập
main.i18n.json,vs/workbench/contrib/extensions/browser/extensionsViewlet,access denied,Truy cập bị từ chối
main.i18n.json,vs/workbench/contrib/extensions/browser/extensionsViewlet,accessDenied,truy cập
main.i18n.json,vs/workbench/contrib/extensions/browser/extensionFeaturesTab,accessExtensionFeature,AccessExtensionFeature
main.i18n.json,vs/workbench/services/extensionManagement/common/extensionFeaturesManagemetService,accessExtensionFeature,AccessExtensionFeature
main.i18n.json,vs/workbench/services/extensionManagement/common/extensionFeaturesManagemetService,accessExtensionFeatureMessage,AccessExtensionFeaturemessage
main.i18n.json,vs/workbench/contrib/preferences/browser/settingsLayout,accessibility,khả năng tiếp cận
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibleView,accessibility-help,Khả năng tiếp cận
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibleView,accessibility-help-hint,Khả năng tiếp cận-giúp
main.i18n.json,vs/workbench/contrib/audioCues/browser/commands,accessibility.alert.help,accessibility.alert.help
main.i18n.json,vs/workbench/contrib/accessibilitySignals/browser/commands,accessibility.announcement.help,accessibility.announcement.help
main.i18n.json,vs/workbench/contrib/accessibilitySignals/browser/commands,accessibility.announcement.help.description,accessibility.announcement.help.description
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.debugWatchVariableAnnouncements,accessibility.debugWatchVariableAnnouncements
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.hideAccessibleView,accessibility.hideAccessibleView
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.openChatEditedFiles,accessibility.openChatEditedFiles
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.replEditor.readLastExecutedOutput,accessibility.replEditor.readLastExecutedOutput
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signalOptions.debouncePositionChanges,accessibility.signalOptions.debouncePositionChanges
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signalOptions.delays.errorAtPosition.announcement,accessibility.signalOptions.delays.errorAtPosition.announcement
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signalOptions.delays.errorAtPosition.sound,accessibility.signalOptions.delays.errorAtPosition.sound
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signalOptions.delays.general.announcement,accessibility.signalOptions.delays.general.announcement
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signalOptions.delays.general.sound,accessibility.signalOptions.delays.general.sound
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signalOptions.delays.warningAtPosition.announcement,accessibility.signalOptions.delays.warningAtPosition.announcement
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signalOptions.delays.warningAtPosition.sound,accessibility.signalOptions.delays.warningAtPosition.sound
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signalOptions.volume,accessibility.signalOptions.volume
main.i18n.json,vs/workbench/contrib/preferences/browser/settingsLayout,accessibility.signals,accessibility.signals
main.i18n.json,vs/platform/accessibilitySignal/browser/accessibilitySignalService,accessibility.signals.chatEditModifiedFile,accessibility.signals.chatEditModifiedFile
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signals.chatEditModifiedFile,accessibility.signals.chatEditModifiedFile
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signals.chatEditModifiedFile.sound,accessibility.signals.chatEditModifiedFile.sound
main.i18n.json,vs/platform/accessibilitySignal/browser/accessibilitySignalService,accessibility.signals.chatRequestSent,accessibility.signals.chatRequestSent
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signals.chatRequestSent,accessibility.signals.chatRequestSent
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signals.chatRequestSent.announcement,accessibility.signals.chatRequestSent.announcement
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signals.chatRequestSent.sound,accessibility.signals.chatRequestSent.sound
main.i18n.json,vs/workbench/contrib/accessibility/browser/accessibilityConfiguration,accessibility.signals.chatResponseReceived,accessibility.signals.chatResponseReceived
