"﻿""file""",scope,key,value_zh
ms-vscode.js-debug.i18n.json,bundle,{0} (couldn't describe: {1}),{0} (couldn't describe: {1})
ms-vscode.js-debug.i18n.json,bundle,{0} Click to Stop Profiling,{0} Click to Stop Profiling
ms-vscode.js-debug.i18n.json,bundle,{0} Click to Stop Profiling ({1} sessions),{0} Click to Stop Profiling ({1} sessions)
ms-vscode.js-debug.i18n.json,bundle,{0} Click to Stop Profiling ({1}),{0} Click to Stop Profiling ({1})
ms-vscode.js-debug.i18n.json,bundle,"A profiling session is already running, would you like to stop it and start a new session?","Một phiên định hình đã chạy, bạn có muốn dừng nó và bắt đầu một phiên mới không?"
ms-vscode.js-debug.i18n.json,bundle,Add new URL...,Thêm URL mới ...
ms-vscode.js-debug.i18n.json,bundle,Add XHR Breakpoint,Thêm điểm dừng XHR
ms-vscode.js-debug.i18n.json,package,add.eventListener.breakpoint,add.eventListener.breakpoint
ms-vscode.js-debug.i18n.json,package,add.xhr.breakpoint,add.xhr.breakpoint
ms-vscode.js-debug.i18n.json,bundle,Adjust glob pattern(s) in the 'outFiles' attribute so that they cover the generated JavaScript.,Điều chỉnh (các) mẫu glob trong thuộc tính 'Outfiles' để chúng bao gồm JavaScript được tạo.
ms-vscode.js-debug.i18n.json,bundle,Always,Luôn luôn
ms-vscode.js-debug.i18n.json,bundle,Always in this Workspace,Luôn ở trong không gian làm việc này
ms-vscode.js-debug.i18n.json,bundle,An error occurred taking a profile from the target.,Một lỗi đã xảy ra khi lấy một hồ sơ từ mục tiêu.
ms-vscode.js-debug.i18n.json,bundle,an old debug session,một phiên gỡ lỗi cũ
ms-vscode.js-debug.i18n.json,bundle,Animation Frame Fired,Khung hoạt hình bị bắn
ms-vscode.js-debug.i18n.json,bundle,Any XHR or fetch,Bất kỳ xhr hoặc tìm nạp
ms-vscode.js-debug.i18n.json,bundle,Assertion failed,Khẳng định thất bại
ms-vscode.js-debug.i18n.json,bundle,Attach to process: '{0}' doesn't look like a process id.,Attach to process: '{0}' doesn't look like a process id.
ms-vscode.js-debug.i18n.json,bundle,Attach to process: cannot enable debug mode for process '{0}' ({1}).,Attach to process: cannot enable debug mode for process '{0}' ({1}).
ms-vscode.js-debug.i18n.json,package,attach.node.process,attach.node.process
ms-vscode.js-debug.i18n.json,bundle,Attribute 'runtimeVersion' requires Node.js version manager 'nvm-windows' or 'nvs'.,Attribute 'runtimeVersion' requires Node.js version manager 'nvm-windows' or 'nvs'.
ms-vscode.js-debug.i18n.json,bundle,"Attribute 'runtimeVersion' requires Node.js version manager 'nvs', 'nvm' or 'fnm' to be installed.","Attribute 'runtimeVersion' requires Node.js version manager 'nvs', 'nvm' or 'fnm' to be installed."
ms-vscode.js-debug.i18n.json,bundle,Attribute 'runtimeVersion' with a flavor/architecture requires 'nvs' to be installed.,Attribute 'runtimeVersion' with a flavor/architecture requires 'nvs' to be installed.
ms-vscode.js-debug.i18n.json,package,base.cascadeTerminateToConfigurations.label,base.cascadeTerminateToConfigurations.label
ms-vscode.js-debug.i18n.json,package,base.enableDWARF.label,base.enableDWARF.label
ms-vscode.js-debug.i18n.json,bundle,Bidder Bidding Phase Start,Giai đoạn đấu thầu Giai đoạn BIDDING BẮT ĐẦU
ms-vscode.js-debug.i18n.json,bundle,Bidder Reporting Phase Start,Giai đoạn báo cáo của nhà thầu bắt đầu
ms-vscode.js-debug.i18n.json,bundle,Block,Khối
ms-vscode.js-debug.i18n.json,bundle,Break when URL Contains,Phá vỡ khi URL chứa
ms-vscode.js-debug.i18n.json,bundle,breakpoint.provisionalBreakpoint,breakpoint.provisionalBreakpoint
ms-vscode.js-debug.i18n.json,package,breakpoint.xhr.any,breakpoint.xhr.any
ms-vscode.js-debug.i18n.json,package,breakpoint.xhr.contains,breakpoint.xhr.contains
ms-vscode.js-debug.i18n.json,bundle,"Breaks on all throw errors, even if they're caught later.","Phá vỡ tất cả các lỗi ném, ngay cả khi chúng bị bắt sau đó."
ms-vscode.js-debug.i18n.json,bundle,Breaks only on errors or promise rejections that are not handled.,Chỉ phá vỡ các lỗi hoặc từ chối lời hứa không được xử lý.
ms-vscode.js-debug.i18n.json,bundle,"Browser connection failed, will retry: {0}","Browser connection failed, will retry: {0}"
ms-vscode.js-debug.i18n.json,package,browser.address.description,browser.address.description
ms-vscode.js-debug.i18n.json,package,browser.attach.port.description,browser.attach.port.description
ms-vscode.js-debug.i18n.json,package,browser.baseUrl.description,browser.baseUrl.description
ms-vscode.js-debug.i18n.json,package,browser.browserAttachLocation.description,browser.browserAttachLocation.description
ms-vscode.js-debug.i18n.json,package,browser.browserLaunchLocation.description,browser.browserLaunchLocation.description
ms-vscode.js-debug.i18n.json,package,browser.cleanUp.description,browser.cleanUp.description
ms-vscode.js-debug.i18n.json,package,browser.cwd.description,browser.cwd.description
ms-vscode.js-debug.i18n.json,package,browser.disableNetworkCache.description,browser.disableNetworkCache.description
ms-vscode.js-debug.i18n.json,package,browser.env.description,browser.env.description
ms-vscode.js-debug.i18n.json,package,browser.file.description,browser.file.description
ms-vscode.js-debug.i18n.json,package,browser.includeDefaultArgs.description,browser.includeDefaultArgs.description
ms-vscode.js-debug.i18n.json,package,browser.includeLaunchArgs.description,browser.includeLaunchArgs.description
ms-vscode.js-debug.i18n.json,package,browser.inspectUri.description,browser.inspectUri.description
ms-vscode.js-debug.i18n.json,package,browser.killBehavior.description,browser.killBehavior.description
ms-vscode.js-debug.i18n.json,package,browser.launch.port.description,browser.launch.port.description
