"﻿""file""",scope,key,value_zh
vscode.debug-auto-launch.i18n.json,bundle,Always,Luôn luôn
vscode.debug-auto-launch.i18n.json,bundle,Auto attach is disabled and not shown in status bar,Đính kèm tự động bị vô hiệu hóa và không được hiển thị trong thanh trạng thái
vscode.debug-auto-launch.i18n.json,bundle,Auto attach to every Node.js process launched in the terminal,Auto attach to every Node.js process launched in the terminal
vscode.debug-auto-launch.i18n.json,bundle,Auto attach when running scripts that aren't in a node_modules folder,Đính kèm tự động khi chạy các tập lệnh không có trong thư mục node_modules
vscode.debug-auto-launch.i18n.json,bundle,Auto Attach: Always,Đính kèm tự động: Luôn luôn
vscode.debug-auto-launch.i18n.json,bundle,Auto Attach: Disabled,Đính kèm tự động: bị vô hiệu hóa
vscode.debug-auto-launch.i18n.json,bundle,Auto Attach: Smart,Đính kèm tự động: Thông minh
vscode.debug-auto-launch.i18n.json,bundle,Auto Attach: With Flag,Đính kèm tự động: với cờ
vscode.debug-auto-launch.i18n.json,bundle,Automatically attach to node.js processes in debug mode,Automatically attach to node.js processes in debug mode
vscode.debug-auto-launch.i18n.json,bundle,Debug Auto Attach,Debug Auto đính kèm
vscode.debug-auto-launch.i18n.json,package,description,Sự miêu tả
vscode.debug-auto-launch.i18n.json,bundle,Disabled,Tàn tật
vscode.debug-auto-launch.i18n.json,package,displayName,DisplayName
vscode.debug-auto-launch.i18n.json,bundle,Only auto attach when the `--inspect` flag is given,Chỉ tự động đính kèm khi cờ `--Inspect` được đưa ra
vscode.debug-auto-launch.i18n.json,bundle,Only With Flag,Chỉ bằng cờ
vscode.debug-auto-launch.i18n.json,bundle,Re-enable auto attach,Đính kèm tự động kích hoạt lại
vscode.debug-auto-launch.i18n.json,bundle,Smart,Thông minh
vscode.debug-auto-launch.i18n.json,bundle,Temporarily disable auto attach in this session,Tạm thời vô hiệu hóa Đính kèm tự động trong phiên này
vscode.debug-auto-launch.i18n.json,bundle,Toggle auto attach in this workspace,Chuyển đổi đính kèm tự động trong không gian làm việc này
vscode.debug-auto-launch.i18n.json,bundle,Toggle auto attach on this machine,Chuyển đổi Auto đính kèm trên máy này
vscode.debug-auto-launch.i18n.json,package,toggle.auto.attach,toggle.auto.attach
