"﻿""file""",scope,key,value_zh
vscode.emmet.i18n.json,package,command.balanceIn,command.balanceIn
vscode.emmet.i18n.json,package,command.balanceOut,command.balanceOut
vscode.emmet.i18n.json,package,command.decrementNumberByOne,command.decrementNumberByOne
vscode.emmet.i18n.json,package,command.decrementNumberByOneTenth,command.decrementNumberByOneTenth
vscode.emmet.i18n.json,package,command.decrementNumberByTen,command.decrementNumberByTen
vscode.emmet.i18n.json,package,command.evaluateMathExpression,command.evaluateMathExpression
vscode.emmet.i18n.json,package,command.incrementNumberByOne,command.incrementNumberByOne
vscode.emmet.i18n.json,package,command.incrementNumberByOneTenth,command.incrementNumberByOneTenth
vscode.emmet.i18n.json,package,command.incrementNumberByTen,command.incrementNumberByTen
vscode.emmet.i18n.json,package,command.matchTag,command.matchTag
vscode.emmet.i18n.json,package,command.mergeLines,command.mergeLines
vscode.emmet.i18n.json,package,command.nextEditPoint,command.nextEditPoint
vscode.emmet.i18n.json,package,command.prevEditPoint,command.prevEditPoint
vscode.emmet.i18n.json,package,command.reflectCSSValue,command.reflectCSSValue
vscode.emmet.i18n.json,package,command.removeTag,command.removeTag
vscode.emmet.i18n.json,package,command.selectNextItem,command.selectNextItem
vscode.emmet.i18n.json,package,command.selectPrevItem,command.selectPrevItem
vscode.emmet.i18n.json,package,command.showEmmetCommands,command.showEmmetCommands
vscode.emmet.i18n.json,package,command.splitJoinTag,command.splitJoinTag
vscode.emmet.i18n.json,package,command.toggleComment,command.toggleComment
vscode.emmet.i18n.json,package,command.updateImageSize,command.updateImageSize
vscode.emmet.i18n.json,package,command.updateTag,command.updateTag
vscode.emmet.i18n.json,package,command.wrapWithAbbreviation,command.wrapWithAbbreviation
vscode.emmet.i18n.json,package,description,Sự miêu tả
vscode.emmet.i18n.json,bundle,Emmet Abbreviation,Chữ viết tắt Emmet
vscode.emmet.i18n.json,package,emmetExclude,Emmetexclude
vscode.emmet.i18n.json,package,emmetExtensionsPath,emmetextensionspath
vscode.emmet.i18n.json,package,emmetExtensionsPathItem,emmetextensionsPathItem
vscode.emmet.i18n.json,package,emmetIncludeLanguages,Emmetincludelelitages
vscode.emmet.i18n.json,package,emmetOptimizeStylesheetParsing,emmetoptimizestylesheetparsing
vscode.emmet.i18n.json,package,emmetPreferences,emmetpreferences
vscode.emmet.i18n.json,package,emmetPreferencesAllowCompactBoolean,EmmetPreferencesallowCompactBoolean
vscode.emmet.i18n.json,package,emmetPreferencesBemElementSeparator,EMMETPREFERENSENSBEMEMENT DECTATOR
vscode.emmet.i18n.json,package,emmetPreferencesBemModifierSeparator,EmmetPreferensesBemodidifiSparer
vscode.emmet.i18n.json,package,emmetPreferencesCssAfter,Emmetpreferencescssenter
vscode.emmet.i18n.json,package,emmetPreferencesCssBetween,EmmetpReferencescssbetbetween
vscode.emmet.i18n.json,package,emmetPreferencesCssColorShort,Emmetpreferencescscsscolorshort
vscode.emmet.i18n.json,package,emmetPreferencesCssFuzzySearchMinScore,emmetpreferencescsfuzzysearchminscore
vscode.emmet.i18n.json,package,emmetPreferencesCssMozProperties,emmetpreferencescSsmozProperIES
vscode.emmet.i18n.json,package,emmetPreferencesCssMsProperties,emmetpreferencescSsmsproperIES
vscode.emmet.i18n.json,package,emmetPreferencesCssOProperties,EmmetPreferencescSsoproperties
vscode.emmet.i18n.json,package,emmetPreferencesCssWebkitProperties,EmmetPreferencescSwebkitProperIES
vscode.emmet.i18n.json,package,emmetPreferencesFilterCommentAfter,Emmetpreferensfiltercommentater
vscode.emmet.i18n.json,package,emmetPreferencesFilterCommentBefore,Emmetreferencesfiltercommentbefore
vscode.emmet.i18n.json,package,emmetPreferencesFilterCommentTrigger,EmmetPreferensFilterComment Rigger
vscode.emmet.i18n.json,package,emmetPreferencesFloatUnit,emmetpreferencesfloatunit
vscode.emmet.i18n.json,package,emmetPreferencesFormatForceIndentTags,Emmetpreferenskformatforcenttags
vscode.emmet.i18n.json,package,emmetPreferencesFormatNoIndentTags,Emmet thích định dạng
vscode.emmet.i18n.json,package,emmetPreferencesIntUnit,EmmetPreferencesIntunit
vscode.emmet.i18n.json,package,emmetPreferencesOutputInlineBreak,EmmetPreferencesOutputInlineBreak
vscode.emmet.i18n.json,package,emmetPreferencesOutputReverseAttributes,EmmetPreferencesOutputReverseattribut
vscode.emmet.i18n.json,package,emmetPreferencesOutputSelfClosingStyle,EmmetPreferencesOutputSelfClosingStyle
vscode.emmet.i18n.json,package,emmetPreferencesSassAfter,EmmetPreferencessassen
