"﻿""file""",scope,key,value_zh
vscode.ipynb.i18n.json,package,addCellOutputToChat.title,addCellOutputToChat.title
vscode.ipynb.i18n.json,package,cleanInvalidImageAttachment.title,cleanInvalidImageAttachment.title
vscode.ipynb.i18n.json,package,copyCellOutput.title,copyCellOutput.title
vscode.ipynb.i18n.json,package,description,Sự miêu tả
vscode.ipynb.i18n.json,package,displayName,DisplayName
vscode.ipynb.i18n.json,bundle,Insert Image as Attachment,Chèn hình ảnh dưới dạng tệp đính kèm
vscode.ipynb.i18n.json,package,ipynb.experimental.serialization,ipynb.experimental.serialization
vscode.ipynb.i18n.json,package,ipynb.pasteImagesAsAttachments.enabled,ipynb.pasteImagesAsAttachments.enabled
vscode.ipynb.i18n.json,package,markdownAttachmentRenderer.displayName,markdownAttachmentRenderer.displayName
vscode.ipynb.i18n.json,package,newUntitledIpynb.shortTitle,newUntitledIpynb.shortTitle
vscode.ipynb.i18n.json,package,newUntitledIpynb.title,newUntitledIpynb.title
vscode.ipynb.i18n.json,package,openCellOutput.title,openCellOutput.title
vscode.ipynb.i18n.json,package,openIpynbInNotebookEditor.title,openIpynbInNotebookEditor.title
