"﻿""file""",scope,key,value_zh
vscode.markdown-language-features.i18n.json,bundle,...{0} additional files not shown,...{0} additional files not shown
vscode.markdown-language-features.i18n.json,bundle,...1 additional file not shown,... 1 tệp bổ sung không được hiển thị
vscode.markdown-language-features.i18n.json,bundle,[Preview] {0},[Preview] {0}
vscode.markdown-language-features.i18n.json,bundle,{0} cannot be found,{0} cannot be found
vscode.markdown-language-features.i18n.json,bundle,Allow all content and script execution. Not recommended,Cho phép tất cả nội dung và thực thi tập lệnh. Không được khuyến nghị
vscode.markdown-language-features.i18n.json,bundle,Allow insecure content,Cho phép nội dung không an toàn
vscode.markdown-language-features.i18n.json,bundle,Allow insecure local content,Cho phép nội dung địa phương không an toàn
vscode.markdown-language-features.i18n.json,bundle,Always,Luôn luôn
vscode.markdown-language-features.i18n.json,bundle,An unexpected error occurred while restoring the Markdown preview.,Một lỗi không mong muốn đã xảy ra trong khi khôi phục bản xem trước Markdown.
vscode.markdown-language-features.i18n.json,bundle,Checking for Markdown links to update,Kiểm tra các liên kết đánh dấu để cập nhật
vscode.markdown-language-features.i18n.json,package,configuration.copyIntoWorkspace.mediaFiles,configuration.copyIntoWorkspace.mediaFiles
vscode.markdown-language-features.i18n.json,package,configuration.copyIntoWorkspace.never,configuration.copyIntoWorkspace.never
vscode.markdown-language-features.i18n.json,package,configuration.markdown.copyFiles.destination,configuration.markdown.copyFiles.destination
vscode.markdown-language-features.i18n.json,package,configuration.markdown.copyFiles.overwriteBehavior,configuration.markdown.copyFiles.overwriteBehavior
vscode.markdown-language-features.i18n.json,package,configuration.markdown.copyFiles.overwriteBehavior.nameIncrementally,configuration.markdown.copyFiles.overwriteBehavior.nameIncrementally
vscode.markdown-language-features.i18n.json,package,configuration.markdown.copyFiles.overwriteBehavior.overwrite,configuration.markdown.copyFiles.overwriteBehavior.overwrite
vscode.markdown-language-features.i18n.json,package,configuration.markdown.editor.drop.copyIntoWorkspace,configuration.markdown.editor.drop.copyIntoWorkspace
vscode.markdown-language-features.i18n.json,package,configuration.markdown.editor.drop.enabled,configuration.markdown.editor.drop.enabled
vscode.markdown-language-features.i18n.json,package,configuration.markdown.editor.drop.enabled.always,configuration.markdown.editor.drop.enabled.always
