"﻿""file""",scope,key,value_zh
vscode.media-preview.i18n.json,bundle,{0}B,{0}B
vscode.media-preview.i18n.json,bundle,{0}GB,{0}GB
vscode.media-preview.i18n.json,bundle,{0}KB,{0}KB
vscode.media-preview.i18n.json,bundle,{0}MB,{0}MB
vscode.media-preview.i18n.json,bundle,{0}TB,{0}TB
vscode.media-preview.i18n.json,bundle,An error occurred while loading the audio file.,Đã xảy ra lỗi trong khi tải tệp âm thanh.
vscode.media-preview.i18n.json,bundle,An error occurred while loading the image.,Một lỗi đã xảy ra trong khi tải hình ảnh.
vscode.media-preview.i18n.json,bundle,An error occurred while loading the video file.,Đã xảy ra lỗi trong khi tải tệp video.
vscode.media-preview.i18n.json,package,command.copyImage,command.copyImage
vscode.media-preview.i18n.json,package,command.reopenAsPreview,command.reopenAsPreview
vscode.media-preview.i18n.json,package,command.reopenAsText,command.reopenAsText
vscode.media-preview.i18n.json,package,command.zoomIn,command.zoomIn
vscode.media-preview.i18n.json,package,command.zoomOut,command.zoomOut
vscode.media-preview.i18n.json,package,customEditor.audioPreview.displayName,customEditor.audioPreview.displayName
vscode.media-preview.i18n.json,package,customEditor.imagePreview.displayName,customEditor.imagePreview.displayName
vscode.media-preview.i18n.json,package,customEditor.videoPreview.displayName,customEditor.videoPreview.displayName
vscode.media-preview.i18n.json,package,description,Sự miêu tả
vscode.media-preview.i18n.json,package,displayName,DisplayName
vscode.media-preview.i18n.json,bundle,Image Binary Size,Hình ảnh Kích thước nhị phân
vscode.media-preview.i18n.json,bundle,Image Size,Kích thước hình ảnh
vscode.media-preview.i18n.json,bundle,Image Zoom,Thu phóng hình ảnh
vscode.media-preview.i18n.json,bundle,Open file using VS Code's standard text/binary editor?,Open file using VS Code's standard text/binary editor?
vscode.media-preview.i18n.json,bundle,Select zoom level,Chọn cấp độ zoom
vscode.media-preview.i18n.json,package,videoPreviewerAutoPlay,Videopreviewerautoplay
vscode.media-preview.i18n.json,package,videoPreviewerLoop,Người đánh giá video
vscode.media-preview.i18n.json,bundle,Whole Image,Toàn bộ hình ảnh
