"﻿""file""",scope,key,value_zh
vscode.merge-conflict.i18n.json,bundle,(Current Change),(Thay đổi hiện tại)
vscode.merge-conflict.i18n.json,bundle,(Incoming Change),(Thay đổi đến)
vscode.merge-conflict.i18n.json,bundle,{0}: Current Changes ↔ Incoming Changes,{0}: Current Changes ↔ Incoming Changes
vscode.merge-conflict.i18n.json,bundle,Accept Both Changes,Chấp nhận cả hai thay đổi
vscode.merge-conflict.i18n.json,bundle,Accept Current Change,Chấp nhận thay đổi hiện tại
vscode.merge-conflict.i18n.json,bundle,Accept Incoming Change,Chấp nhận thay đổi đến
vscode.merge-conflict.i18n.json,package,command.accept.all-both,command.accept.all-both
vscode.merge-conflict.i18n.json,package,command.accept.all-current,command.accept.all-current
vscode.merge-conflict.i18n.json,package,command.accept.all-incoming,command.accept.all-incoming
vscode.merge-conflict.i18n.json,package,command.accept.both,command.accept.both
vscode.merge-conflict.i18n.json,package,command.accept.current,command.accept.current
vscode.merge-conflict.i18n.json,package,command.accept.incoming,command.accept.incoming
vscode.merge-conflict.i18n.json,package,command.accept.selection,command.accept.selection
vscode.merge-conflict.i18n.json,package,command.category,command.category
vscode.merge-conflict.i18n.json,package,command.compare,command.compare
vscode.merge-conflict.i18n.json,package,command.next,command.next
vscode.merge-conflict.i18n.json,package,command.previous,command.previous
vscode.merge-conflict.i18n.json,bundle,Compare Changes,So sánh các thay đổi
vscode.merge-conflict.i18n.json,package,config.autoNavigateNextConflictEnabled,config.autoNavigateNextConflictEnabled
vscode.merge-conflict.i18n.json,package,config.codeLensEnabled,config.codeLensEnabled
vscode.merge-conflict.i18n.json,package,config.decoratorsEnabled,config.decoratorsEnabled
vscode.merge-conflict.i18n.json,package,config.diffViewPosition,config.diffViewPosition
vscode.merge-conflict.i18n.json,package,config.diffViewPosition.below,config.diffViewPosition.below
vscode.merge-conflict.i18n.json,package,config.diffViewPosition.beside,config.diffViewPosition.beside
vscode.merge-conflict.i18n.json,package,config.diffViewPosition.current,config.diffViewPosition.current
vscode.merge-conflict.i18n.json,package,config.title,config.title
vscode.merge-conflict.i18n.json,package,description,Sự miêu tả
vscode.merge-conflict.i18n.json,package,displayName,DisplayName
vscode.merge-conflict.i18n.json,bundle,Editor cursor is not within a merge conflict,Trình chỉnh sửa con trỏ không nằm trong một cuộc xung đột hợp nhất
vscode.merge-conflict.i18n.json,bundle,"Editor cursor is within the common ancestors block, please move it to either the ""current"" or ""incoming"" block","Trình chỉnh sửa con trỏ nằm trong khối tổ tiên chung, vui lòng di chuyển nó sang khối ""hiện tại"" hoặc ""đến"""
vscode.merge-conflict.i18n.json,bundle,"Editor cursor is within the merge conflict splitter, please move it to either the ""current"" or ""incoming"" block","Trình chỉnh sửa con trỏ nằm trong bộ chia xung đột hợp nhất, vui lòng di chuyển nó sang khối ""hiện tại"" hoặc ""đến"""
vscode.merge-conflict.i18n.json,bundle,No merge conflicts found in this file,Không tìm thấy xung đột hợp nhất trong tệp này
vscode.merge-conflict.i18n.json,bundle,No other merge conflicts within this file,Không có xung đột hợp nhất nào khác trong tệp này
