"﻿""file""",scope,key,value_zh
vscode.microsoft-authentication.i18n.json,bundle,Authorization code is required.,Mã ủy quyền là bắt buộc.
vscode.microsoft-authentication.i18n.json,package,description,Sự miêu tả
vscode.microsoft-authentication.i18n.json,package,displayName,DisplayName
vscode.microsoft-authentication.i18n.json,bundle,Error validating custom environment setting: {0},Error validating custom environment setting: {0}
vscode.microsoft-authentication.i18n.json,bundle,Having trouble logging in? Would you like to try a different way? ({0}),Having trouble logging in? Would you like to try a different way? ({0})
vscode.microsoft-authentication.i18n.json,bundle,Microsoft Account configuration has been changed.,Cấu hình tài khoản Microsoft đã được thay đổi.
vscode.microsoft-authentication.i18n.json,bundle,Microsoft Authentication,Xác thực Microsoft
vscode.microsoft-authentication.i18n.json,bundle,Microsoft Sovereign Cloud Authentication,Xác thực đám mây có chủ quyền của Microsoft
vscode.microsoft-authentication.i18n.json,package,microsoft-authentication.implementation.description,microsoft-authentication.implementation.description
vscode.microsoft-authentication.i18n.json,package,microsoft-authentication.implementation.enumDescriptions.classic,microsoft-authentication.implementation.enumDescriptions.classic
vscode.microsoft-authentication.i18n.json,package,microsoft-authentication.implementation.enumDescriptions.msal,microsoft-authentication.implementation.enumDescriptions.msal
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.customEnvironment.activeDirectoryEndpointUrl.description,microsoft-sovereign-cloud.customEnvironment.activeDirectoryEndpointUrl.description
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.customEnvironment.activeDirectoryResourceId.description,microsoft-sovereign-cloud.customEnvironment.activeDirectoryResourceId.description
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.customEnvironment.description,microsoft-sovereign-cloud.customEnvironment.description
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.customEnvironment.managementEndpointUrl.description,microsoft-sovereign-cloud.customEnvironment.managementEndpointUrl.description
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.customEnvironment.name.description,microsoft-sovereign-cloud.customEnvironment.name.description
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.customEnvironment.portalUrl.description,microsoft-sovereign-cloud.customEnvironment.portalUrl.description
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.customEnvironment.resourceManagerEndpointUrl.description,microsoft-sovereign-cloud.customEnvironment.resourceManagerEndpointUrl.description
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.environment.description,microsoft-sovereign-cloud.environment.description
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.environment.enumDescriptions.AzureChinaCloud,microsoft-sovereign-cloud.environment.enumDescriptions.AzureChinaCloud
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.environment.enumDescriptions.AzureUSGovernment,microsoft-sovereign-cloud.environment.enumDescriptions.AzureUSGovernment
vscode.microsoft-authentication.i18n.json,package,microsoft-sovereign-cloud.environment.enumDescriptions.custom,microsoft-sovereign-cloud.environment.enumDescriptions.custom
vscode.microsoft-authentication.i18n.json,bundle,No,KHÔNG
vscode.microsoft-authentication.i18n.json,bundle,Open settings,Mở cài đặt
vscode.microsoft-authentication.i18n.json,bundle,Paste authorization code here...,Dán mã ủy quyền ở đây ...
vscode.microsoft-authentication.i18n.json,bundle,Provide the authorization code to complete the sign in flow.,Cung cấp mã ủy quyền để hoàn thành dấu hiệu trong luồng.
vscode.microsoft-authentication.i18n.json,bundle,Reload,Tải lại
vscode.microsoft-authentication.i18n.json,package,signIn,ký hiệu
vscode.microsoft-authentication.i18n.json,bundle,Signing in to Microsoft...,Đăng nhập vào Microsoft ...
vscode.microsoft-authentication.i18n.json,bundle,Signing in to your account...,Đăng nhập vào tài khoản của bạn ...
vscode.microsoft-authentication.i18n.json,package,signOut,tín hiệu
vscode.microsoft-authentication.i18n.json,bundle,The environment `{0}` is not a valid environment.,The environment `{0}` is not a valid environment.
vscode.microsoft-authentication.i18n.json,bundle,Yes,Đúng
vscode.microsoft-authentication.i18n.json,bundle,You have been signed out because reading stored authentication information failed.,Bạn đã được ký ra vì đọc thông tin xác thực được lưu trữ không thành công.
vscode.microsoft-authentication.i18n.json,bundle,You have not yet finished authorizing this extension to use your Microsoft Account. Would you like to try a different way? ({0}),You have not yet finished authorizing this extension to use your Microsoft Account. Would you like to try a different way? ({0})
vscode.microsoft-authentication.i18n.json,bundle,You must also specify a custom environment in order to use the custom environment auth provider.,Bạn cũng phải chỉ định một môi trường tùy chỉnh để sử dụng Nhà cung cấp Auth Môi trường tùy chỉnh.
