"﻿""file""",scope,key,value_zh
vscode.npm.i18n.json,bundle,{0} day,{0} day
vscode.npm.i18n.json,bundle,{0} day ago,{0} day ago
vscode.npm.i18n.json,bundle,{0} days,{0} days
vscode.npm.i18n.json,bundle,{0} days ago,{0} days ago
vscode.npm.i18n.json,bundle,{0} hour,{0} hour
vscode.npm.i18n.json,bundle,{0} hour ago,{0} hour ago
vscode.npm.i18n.json,bundle,{0} hours,{0} hours
vscode.npm.i18n.json,bundle,{0} hours ago,{0} hours ago
vscode.npm.i18n.json,bundle,{0} hr,{0} hr
vscode.npm.i18n.json,bundle,{0} hr ago,{0} hr ago
vscode.npm.i18n.json,bundle,{0} hrs,{0} hrs
vscode.npm.i18n.json,bundle,{0} hrs ago,{0} hrs ago
vscode.npm.i18n.json,bundle,{0} min,{0} min
vscode.npm.i18n.json,bundle,{0} min ago,{0} min ago
vscode.npm.i18n.json,bundle,{0} mins,{0} mins
vscode.npm.i18n.json,bundle,{0} mins ago,{0} mins ago
vscode.npm.i18n.json,bundle,{0} minute,{0} minute
vscode.npm.i18n.json,bundle,{0} minute ago,{0} minute ago
vscode.npm.i18n.json,bundle,{0} minutes,{0} minutes
vscode.npm.i18n.json,bundle,{0} minutes ago,{0} minutes ago
vscode.npm.i18n.json,bundle,{0} mo,{0} mo
vscode.npm.i18n.json,bundle,{0} mo ago,{0} mo ago
vscode.npm.i18n.json,bundle,{0} month,{0} month
vscode.npm.i18n.json,bundle,{0} month ago,{0} month ago
vscode.npm.i18n.json,bundle,{0} months,{0} months
vscode.npm.i18n.json,bundle,{0} months ago,{0} months ago
vscode.npm.i18n.json,bundle,{0} mos,{0} mos
vscode.npm.i18n.json,bundle,{0} mos ago,{0} mos ago
vscode.npm.i18n.json,bundle,{0} sec,{0} sec
vscode.npm.i18n.json,bundle,{0} sec ago,{0} sec ago
vscode.npm.i18n.json,bundle,{0} second,{0} second
vscode.npm.i18n.json,bundle,{0} second ago,{0} second ago
vscode.npm.i18n.json,bundle,{0} seconds,{0} seconds
vscode.npm.i18n.json,bundle,{0} seconds ago,{0} seconds ago
vscode.npm.i18n.json,bundle,{0} secs,{0} secs
vscode.npm.i18n.json,bundle,{0} secs ago,{0} secs ago
vscode.npm.i18n.json,bundle,{0} week,{0} week
vscode.npm.i18n.json,bundle,{0} week ago,{0} week ago
vscode.npm.i18n.json,bundle,{0} weeks,{0} weeks
vscode.npm.i18n.json,bundle,{0} weeks ago,{0} weeks ago
vscode.npm.i18n.json,bundle,{0} wk,{0} wk
vscode.npm.i18n.json,bundle,{0} wk ago,{0} wk ago
vscode.npm.i18n.json,bundle,{0} wks,{0} wks
vscode.npm.i18n.json,bundle,{0} wks ago,{0} wks ago
vscode.npm.i18n.json,bundle,{0} year,{0} year
vscode.npm.i18n.json,bundle,{0} year ago,{0} year ago
vscode.npm.i18n.json,bundle,{0} years,{0} years
vscode.npm.i18n.json,bundle,{0} years ago,{0} years ago
vscode.npm.i18n.json,bundle,{0} yr,{0} yr
vscode.npm.i18n.json,bundle,{0} yr ago,{0} yr ago
vscode.npm.i18n.json,bundle,{0} yrs,{0} yrs
vscode.npm.i18n.json,bundle,{0} yrs ago,{0} yrs ago
vscode.npm.i18n.json,package,command.debug,command.debug
vscode.npm.i18n.json,package,command.openScript,command.openScript
vscode.npm.i18n.json,package,command.packageManager,command.packageManager
vscode.npm.i18n.json,package,command.refresh,command.refresh
vscode.npm.i18n.json,package,command.run,command.run
vscode.npm.i18n.json,package,command.runInstall,command.runInstall
vscode.npm.i18n.json,package,command.runScriptFromFolder,command.runScriptFromFolder
vscode.npm.i18n.json,package,command.runSelectedScript,command.runSelectedScript
vscode.npm.i18n.json,package,config.npm.autoDetect,config.npm.autoDetect
vscode.npm.i18n.json,package,config.npm.enableRunFromFolder,config.npm.enableRunFromFolder
vscode.npm.i18n.json,package,config.npm.enableScriptExplorer,config.npm.enableScriptExplorer
vscode.npm.i18n.json,package,config.npm.exclude,config.npm.exclude
vscode.npm.i18n.json,package,config.npm.fetchOnlinePackageInfo,config.npm.fetchOnlinePackageInfo
vscode.npm.i18n.json,package,config.npm.packageManager,config.npm.packageManager
vscode.npm.i18n.json,package,config.npm.packageManager.auto,config.npm.packageManager.auto
vscode.npm.i18n.json,package,config.npm.packageManager.bun,config.npm.packageManager.bun
vscode.npm.i18n.json,package,config.npm.packageManager.npm,config.npm.packageManager.npm
vscode.npm.i18n.json,package,config.npm.packageManager.pnpm,config.npm.packageManager.pnpm
vscode.npm.i18n.json,package,config.npm.packageManager.yarn,config.npm.packageManager.yarn
vscode.npm.i18n.json,package,config.npm.runSilent,config.npm.runSilent
vscode.npm.i18n.json,package,config.npm.scriptExplorerAction,config.npm.scriptExplorerAction
vscode.npm.i18n.json,package,config.npm.scriptExplorerExclude,config.npm.scriptExplorerExclude
vscode.npm.i18n.json,package,config.npm.scriptHover,config.npm.scriptHover
vscode.npm.i18n.json,package,config.npm.scriptRunner,config.npm.scriptRunner
vscode.npm.i18n.json,package,config.npm.scriptRunner.auto,config.npm.scriptRunner.auto
vscode.npm.i18n.json,package,config.npm.scriptRunner.bun,config.npm.scriptRunner.bun
vscode.npm.i18n.json,package,config.npm.scriptRunner.node,config.npm.scriptRunner.node
vscode.npm.i18n.json,package,config.npm.scriptRunner.npm,config.npm.scriptRunner.npm
vscode.npm.i18n.json,package,config.npm.scriptRunner.pnpm,config.npm.scriptRunner.pnpm
vscode.npm.i18n.json,package,config.npm.scriptRunner.yarn,config.npm.scriptRunner.yarn
vscode.npm.i18n.json,bundle,Could not find a valid npm script at the selection.,Không thể tìm thấy một tập lệnh NPM hợp lệ tại lựa chọn.
vscode.npm.i18n.json,bundle,Debug,Gỡ lỗi
vscode.npm.i18n.json,bundle,Debug Script,Tập lệnh gỡ lỗi
vscode.npm.i18n.json,bundle,Default bower.json,Default bower.json
vscode.npm.i18n.json,bundle,Default package.json,Default package.json
vscode.npm.i18n.json,package,description,Sự miêu tả
vscode.npm.i18n.json,package,displayName,DisplayName
vscode.npm.i18n.json,bundle,Do not show again,Không hiển thị lại
vscode.npm.i18n.json,bundle,in {0},in {0}
vscode.npm.i18n.json,bundle,latest,mới nhất
vscode.npm.i18n.json,bundle,Latest version: {0},Latest version: {0}
vscode.npm.i18n.json,bundle,Latest version: {0} published {1},Latest version: {0} published {1}
vscode.npm.i18n.json,bundle,Learn more,Tìm hiểu thêm
vscode.npm.i18n.json,bundle,Matches the most recent major version (1.x.x),Matches the most recent major version (1.x.x)
vscode.npm.i18n.json,bundle,Matches the most recent minor version (1.2.x),Khớp với phiên bản nhỏ gần đây nhất (1.2.x)
vscode.npm.i18n.json,bundle,No scripts found.,Không tìm thấy kịch bản.
vscode.npm.i18n.json,bundle,now,Hiện nay
vscode.npm.i18n.json,bundle,Npm task detection: failed to parse the file {0},Npm task detection: failed to parse the file {0}
vscode.npm.i18n.json,package,npm.parseError,npm.parseError
vscode.npm.i18n.json,bundle,Request to the bower repository failed: {0},Request to the bower repository failed: {0}
vscode.npm.i18n.json,bundle,Request to the NPM repository failed: {0},Request to the NPM repository failed: {0}
vscode.npm.i18n.json,bundle,Run Script,Chạy tập lệnh
vscode.npm.i18n.json,bundle,Run the script as a task,Chạy tập lệnh như một tác vụ
vscode.npm.i18n.json,bundle,Runs the script under the debugger,Chạy tập lệnh dưới trình gỡ lỗi
vscode.npm.i18n.json,package,taskdef.path,taskdef.path
vscode.npm.i18n.json,package,taskdef.script,taskdef.script
vscode.npm.i18n.json,bundle,The currently latest version of the package,Phiên bản mới nhất của gói
vscode.npm.i18n.json,bundle,"The setting ""npm.autoDetect"" is ""off"".","The setting ""npm.autoDetect"" is ""off""."
vscode.npm.i18n.json,bundle,"Using {0} as the preferred package manager. Found multiple lockfiles for {1}.  To resolve this issue, delete the lockfiles that don't match your preferred package manager or change the setting ""npm.packageManager"" to a value other than ""auto"".","Using {0} as the preferred package manager. Found multiple lockfiles for {1}.  To resolve this issue, delete the lockfiles that don't match your preferred package manager or change the setting ""npm.packageManager"" to a value other than ""auto""."
vscode.npm.i18n.json,package,view.name,view.name
vscode.npm.i18n.json,package,virtualWorkspaces,không gian ảo
vscode.npm.i18n.json,package,workspaceTrust,WorkSpaceTrust
