"﻿""file""",scope,key,value_zh
vscode.references-view.i18n.json,bundle,{0} result in {1} file,{0} result in {1} file
vscode.references-view.i18n.json,bundle,{0} result in {1} files,{0} result in {1} files
vscode.references-view.i18n.json,bundle,{0} results in {1} file,{0} results in {1} file
vscode.references-view.i18n.json,bundle,{0} results in {1} files,{0} results in {1} files
vscode.references-view.i18n.json,bundle,Callers Of,Người gọi của
vscode.references-view.i18n.json,bundle,Calls From,Cuộc gọi từ
vscode.references-view.i18n.json,package,cmd.category.references,cmd.category.references
vscode.references-view.i18n.json,package,cmd.references-view.clear,cmd.references-view.clear
vscode.references-view.i18n.json,package,cmd.references-view.clearHistory,cmd.references-view.clearHistory
vscode.references-view.i18n.json,package,cmd.references-view.copy,cmd.references-view.copy
vscode.references-view.i18n.json,package,cmd.references-view.copyAll,cmd.references-view.copyAll
vscode.references-view.i18n.json,package,cmd.references-view.copyPath,cmd.references-view.copyPath
vscode.references-view.i18n.json,package,cmd.references-view.findImplementations,cmd.references-view.findImplementations
vscode.references-view.i18n.json,package,cmd.references-view.findReferences,cmd.references-view.findReferences
vscode.references-view.i18n.json,package,cmd.references-view.next,cmd.references-view.next
vscode.references-view.i18n.json,package,cmd.references-view.pickFromHistory,cmd.references-view.pickFromHistory
vscode.references-view.i18n.json,package,cmd.references-view.prev,cmd.references-view.prev
vscode.references-view.i18n.json,package,cmd.references-view.refind,cmd.references-view.refind
vscode.references-view.i18n.json,package,cmd.references-view.refresh,cmd.references-view.refresh
vscode.references-view.i18n.json,package,cmd.references-view.removeCallItem,cmd.references-view.removeCallItem
vscode.references-view.i18n.json,package,cmd.references-view.removeReferenceItem,cmd.references-view.removeReferenceItem
vscode.references-view.i18n.json,package,cmd.references-view.removeTypeItem,cmd.references-view.removeTypeItem
vscode.references-view.i18n.json,package,cmd.references-view.showCallHierarchy,cmd.references-view.showCallHierarchy
vscode.references-view.i18n.json,package,cmd.references-view.showIncomingCalls,cmd.references-view.showIncomingCalls
vscode.references-view.i18n.json,package,cmd.references-view.showOutgoingCalls,cmd.references-view.showOutgoingCalls
vscode.references-view.i18n.json,package,cmd.references-view.showSubtypes,cmd.references-view.showSubtypes
vscode.references-view.i18n.json,package,cmd.references-view.showSupertypes,cmd.references-view.showSupertypes
vscode.references-view.i18n.json,package,cmd.references-view.showTypeHierarchy,cmd.references-view.showTypeHierarchy
vscode.references-view.i18n.json,package,config.references.preferredLocation,config.references.preferredLocation
vscode.references-view.i18n.json,package,config.references.preferredLocation.peek,config.references.preferredLocation.peek
vscode.references-view.i18n.json,package,config.references.preferredLocation.view,config.references.preferredLocation.view
vscode.references-view.i18n.json,package,container.title,container.title
vscode.references-view.i18n.json,package,description,Sự miêu tả
vscode.references-view.i18n.json,package,displayName,DisplayName
vscode.references-view.i18n.json,bundle,No results.,Không có kết quả.
vscode.references-view.i18n.json,bundle,No results. Try running a previous search again:,Không có kết quả. Thử chạy lại tìm kiếm trước đó:
vscode.references-view.i18n.json,bundle,Open Call,Mở cuộc gọi
vscode.references-view.i18n.json,bundle,Open Reference,Tài liệu tham khảo mở
vscode.references-view.i18n.json,bundle,Open Type,Loại mở
vscode.references-view.i18n.json,bundle,References,Tài liệu tham khảo
vscode.references-view.i18n.json,bundle,Rerun,Chạy lại
vscode.references-view.i18n.json,bundle,Select previous reference search,Chọn Tìm kiếm tham chiếu trước đó
vscode.references-view.i18n.json,bundle,Subtypes Of,Các phân nhóm của
vscode.references-view.i18n.json,bundle,Supertypes Of,SuperTypes của
vscode.references-view.i18n.json,package,view.title,view.title
