"﻿""file""",scope,key,value_zh
vscode.simple-browser.i18n.json,bundle,Back,Mặt sau
vscode.simple-browser.i18n.json,package,configuration.focusLockIndicator.enabled.description,configuration.focusLockIndicator.enabled.description
vscode.simple-browser.i18n.json,package,description,Sự miêu tả
vscode.simple-browser.i18n.json,package,displayName,DisplayName
vscode.simple-browser.i18n.json,bundle,Enter url to visit,Nhập URL để truy cập
vscode.simple-browser.i18n.json,bundle,Focus Lock,Khóa tập trung
vscode.simple-browser.i18n.json,bundle,Forward,Phía trước
vscode.simple-browser.i18n.json,bundle,https://example.com,https://example.com
vscode.simple-browser.i18n.json,bundle,Open in browser,Mở trong trình duyệt
vscode.simple-browser.i18n.json,bundle,Open in simple browser,Mở trong trình duyệt đơn giản
vscode.simple-browser.i18n.json,bundle,Reload,Tải lại
vscode.simple-browser.i18n.json,bundle,Simple Browser,Trình duyệt đơn giản
