"﻿""file""",scope,key,value_zh
vscode.theme-defaults.i18n.json,package,darkColorThemeLabel,DarkColorthemelabel
vscode.theme-defaults.i18n.json,package,darkModernThemeLabel,Darkmodernthemelabel
vscode.theme-defaults.i18n.json,package,darkPlusColorThemeLabel,Darkpluscolorthemelabel
vscode.theme-defaults.i18n.json,package,description,Sự miêu tả
vscode.theme-defaults.i18n.json,package,displayName,DisplayName
vscode.theme-defaults.i18n.json,package,hcColorThemeLabel,HCColorthemelabel
vscode.theme-defaults.i18n.json,package,lightColorThemeLabel,LightColorthemelabel
vscode.theme-defaults.i18n.json,package,lightHcColorThemeLabel,Lighthccolorthemelabel
vscode.theme-defaults.i18n.json,package,lightModernThemeLabel,LightModernthemelabel
vscode.theme-defaults.i18n.json,package,lightPlusColorThemeLabel,Lightpluscolorthemelabel
vscode.theme-defaults.i18n.json,package,minimalIconThemeLabel,Tối thiểu
