"﻿""file""",scope,key,value_zh
vscode.tunnel-forwarding.i18n.json,package,category,loại
vscode.tunnel-forwarding.i18n.json,package,command.restart,command.restart
vscode.tunnel-forwarding.i18n.json,package,command.showLog,command.showLog
vscode.tunnel-forwarding.i18n.json,bundle,Continue,Tiếp tục
vscode.tunnel-forwarding.i18n.json,package,description,Sự miêu tả
vscode.tunnel-forwarding.i18n.json,package,displayName,DisplayName
vscode.tunnel-forwarding.i18n.json,bundle,Don't show again,Đừng hiển thị lại
vscode.tunnel-forwarding.i18n.json,bundle,Port Forwarding,Chuyển tiếp cổng
vscode.tunnel-forwarding.i18n.json,bundle,Private,Riêng tư
vscode.tunnel-forwarding.i18n.json,bundle,Public,Công cộng
vscode.tunnel-forwarding.i18n.json,bundle,You're about to create a publicly forwarded port. Anyone on the internet will be able to connect to the service listening on port {0}. You should only proceed if this service is secure and non-sensitive.,You're about to create a publicly forwarded port. Anyone on the internet will be able to connect to the service listening on port {0}. You should only proceed if this service is secure and non-sensitive.
