"﻿""file""",scope,key,value_zh
vscode.typescript-language-features.i18n.json,bundle,...{0} additional files not shown,...{0} additional files not shown
vscode.typescript-language-features.i18n.json,bundle,...1 additional file not shown,... 1 tệp bổ sung không được hiển thị
vscode.typescript-language-features.i18n.json,bundle,(loading...)/Prefix displayed for hover entries while the server is still loading,(loading...)/Prefix displayed for hover entries while the server is still loading
vscode.typescript-language-features.i18n.json,bundle,{0} (Fix all in file),{0} (Fix all in file)
vscode.typescript-language-features.i18n.json,bundle,{0} implementations,{0} implementations
vscode.typescript-language-features.i18n.json,bundle,{0} references,{0} references
vscode.typescript-language-features.i18n.json,bundle,1 implementation,1 Thực hiện
vscode.typescript-language-features.i18n.json,bundle,1 reference,1 Tài liệu tham khảo
vscode.typescript-language-features.i18n.json,bundle,Acquiring typings definitions for IntelliSense./Typings refers to the *.d.ts typings files that power our IntelliSense. It should not be localized,Acquiring typings definitions for IntelliSense./Typings refers to the *.d.ts typings files that power our IntelliSense. It should not be localized
vscode.typescript-language-features.i18n.json,bundle,Acquiring typings.../Typings refers to the *.d.ts typings files that power our IntelliSense. It should not be localized,Acquiring typings.../Typings refers to the *.d.ts typings files that power our IntelliSense. It should not be localized
vscode.typescript-language-features.i18n.json,bundle,Add all missing imports,Thêm tất cả các khoản nhập khẩu bị thiếu
vscode.typescript-language-features.i18n.json,bundle,Allow,Cho phép
vscode.typescript-language-features.i18n.json,bundle,Always,Luôn luôn
vscode.typescript-language-features.i18n.json,bundle,An error occurred while renaming file,Xảy ra lỗi trong khi đổi tên tệp
vscode.typescript-language-features.i18n.json,bundle,Analyzing '{0}' and its dependencies,Analyzing '{0}' and its dependencies
vscode.typescript-language-features.i18n.json,bundle,build - {0},build - {0}
vscode.typescript-language-features.i18n.json,bundle,Checking for update of JS/TS imports,Checking for update of JS/TS imports
vscode.typescript-language-features.i18n.json,package,configuration.expandableHover,configuration.expandableHover
vscode.typescript-language-features.i18n.json,package,configuration.format,configuration.format
vscode.typescript-language-features.i18n.json,package,configuration.hover.maximumLength,configuration.hover.maximumLength
vscode.typescript-language-features.i18n.json,package,configuration.implicitProjectConfig.checkJs,configuration.implicitProjectConfig.checkJs
vscode.typescript-language-features.i18n.json,package,configuration.implicitProjectConfig.experimentalDecorators,configuration.implicitProjectConfig.experimentalDecorators
vscode.typescript-language-features.i18n.json,package,configuration.implicitProjectConfig.module,configuration.implicitProjectConfig.module
vscode.typescript-language-features.i18n.json,package,configuration.implicitProjectConfig.strictFunctionTypes,configuration.implicitProjectConfig.strictFunctionTypes
vscode.typescript-language-features.i18n.json,package,configuration.implicitProjectConfig.strictNullChecks,configuration.implicitProjectConfig.strictNullChecks
vscode.typescript-language-features.i18n.json,package,configuration.implicitProjectConfig.target,configuration.implicitProjectConfig.target
vscode.typescript-language-features.i18n.json,package,configuration.inlayHints,configuration.inlayHints
vscode.typescript-language-features.i18n.json,package,configuration.inlayHints.enumMemberValues.enabled,configuration.inlayHints.enumMemberValues.enabled
vscode.typescript-language-features.i18n.json,package,configuration.inlayHints.functionLikeReturnTypes.enabled,configuration.inlayHints.functionLikeReturnTypes.enabled
vscode.typescript-language-features.i18n.json,package,configuration.inlayHints.parameterNames.enabled,configuration.inlayHints.parameterNames.enabled
vscode.typescript-language-features.i18n.json,package,configuration.inlayHints.parameterNames.suppressWhenArgumentMatchesName,configuration.inlayHints.parameterNames.suppressWhenArgumentMatchesName
vscode.typescript-language-features.i18n.json,package,configuration.inlayHints.parameterTypes.enabled,configuration.inlayHints.parameterTypes.enabled
vscode.typescript-language-features.i18n.json,package,configuration.inlayHints.propertyDeclarationTypes.enabled,configuration.inlayHints.propertyDeclarationTypes.enabled
vscode.typescript-language-features.i18n.json,package,configuration.inlayHints.variableTypes.enabled,configuration.inlayHints.variableTypes.enabled
vscode.typescript-language-features.i18n.json,package,configuration.inlayHints.variableTypes.suppressWhenTypeMatchesName,configuration.inlayHints.variableTypes.suppressWhenTypeMatchesName
vscode.typescript-language-features.i18n.json,package,configuration.preferences,configuration.preferences
vscode.typescript-language-features.i18n.json,package,configuration.preferGoToSourceDefinition,configuration.preferGoToSourceDefinition
vscode.typescript-language-features.i18n.json,package,configuration.server,configuration.server
vscode.typescript-language-features.i18n.json,package,configuration.suggest,configuration.suggest
vscode.typescript-language-features.i18n.json,package,configuration.suggest.autoImports,configuration.suggest.autoImports
vscode.typescript-language-features.i18n.json,package,configuration.suggest.classMemberSnippets.enabled,configuration.suggest.classMemberSnippets.enabled
vscode.typescript-language-features.i18n.json,package,configuration.suggest.completeFunctionCalls,configuration.suggest.completeFunctionCalls
vscode.typescript-language-features.i18n.json,package,configuration.suggest.completeJSDocs,configuration.suggest.completeJSDocs
vscode.typescript-language-features.i18n.json,package,configuration.suggest.includeAutomaticOptionalChainCompletions,configuration.suggest.includeAutomaticOptionalChainCompletions
vscode.typescript-language-features.i18n.json,package,configuration.suggest.includeCompletionsForImportStatements,configuration.suggest.includeCompletionsForImportStatements
vscode.typescript-language-features.i18n.json,package,configuration.suggest.jsdoc.generateReturns,configuration.suggest.jsdoc.generateReturns
vscode.typescript-language-features.i18n.json,package,configuration.suggest.names,configuration.suggest.names
vscode.typescript-language-features.i18n.json,package,configuration.suggest.objectLiteralMethodSnippets.enabled,configuration.suggest.objectLiteralMethodSnippets.enabled
vscode.typescript-language-features.i18n.json,package,configuration.suggest.paths,configuration.suggest.paths
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.experimental.enableProjectDiagnostics,configuration.tsserver.experimental.enableProjectDiagnostics
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.maxTsServerMemory,configuration.tsserver.maxTsServerMemory
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.nodePath,configuration.tsserver.nodePath
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.useSeparateSyntaxServer,configuration.tsserver.useSeparateSyntaxServer
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.useSyntaxServer,configuration.tsserver.useSyntaxServer
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.useSyntaxServer.always,configuration.tsserver.useSyntaxServer.always
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.useSyntaxServer.auto,configuration.tsserver.useSyntaxServer.auto
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.useSyntaxServer.never,configuration.tsserver.useSyntaxServer.never
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.useVsCodeWatcher,configuration.tsserver.useVsCodeWatcher
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions,configuration.tsserver.watchOptions
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.fallbackPolling,configuration.tsserver.watchOptions.fallbackPolling
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.fallbackPolling.dynamicPriorityPolling ,configuration.tsserver.watchOptions.fallbackPolling.dynamicPriorityPolling 
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.fallbackPolling.fixedPollingInterval,configuration.tsserver.watchOptions.fallbackPolling.fixedPollingInterval
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.fallbackPolling.priorityPollingInterval,configuration.tsserver.watchOptions.fallbackPolling.priorityPollingInterval
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.synchronousWatchDirectory,configuration.tsserver.watchOptions.synchronousWatchDirectory
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.vscode,configuration.tsserver.watchOptions.vscode
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.watchDirectory,configuration.tsserver.watchOptions.watchDirectory
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.watchDirectory.dynamicPriorityPolling,configuration.tsserver.watchOptions.watchDirectory.dynamicPriorityPolling
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.watchDirectory.fixedChunkSizePolling,configuration.tsserver.watchOptions.watchDirectory.fixedChunkSizePolling
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.watchDirectory.fixedPollingInterval,configuration.tsserver.watchOptions.watchDirectory.fixedPollingInterval
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.watchDirectory.useFsEvents,configuration.tsserver.watchOptions.watchDirectory.useFsEvents
vscode.typescript-language-features.i18n.json,package,configuration.tsserver.watchOptions.watchFile,configuration.tsserver.watchOptions.watchFile
